ENSEMBL	chromosome_name	start_position	end_position
ENSG00000156298	X	38561542	38688920
ENSG00000227502	6	113868013	113873390
ENSG00000183283	12	51238724	51271362
ENSG00000158486	16	20933111	21159441
ENSG00000140992	16	2537979	2603188
ENSG00000186862	10	101007679	101032295
ENSG00000177606	1	58776845	58784048
ENSG00000269293	6	28015122	28137313
ENSG00000263069	17	80351828	80415168
ENSG00000118454	1	70258999	70354734
ENSG00000153015	5	64766368	65102412
ENSG00000056291	4	72031902	72148305
ENSG00000170835	9	133061981	133071861
ENSG00000066084	12	50504985	50748657
ENSG00000152292	2	85418714	85437029
ENSG00000189007	6	143422832	143450695
ENSG00000164715	7	98106862	98209638
ENSG00000256458	2	203328459	203329226
ENSG00000134686	1	33323623	33431095
ENSG00000247877	5	100428124	100535262
ENSG00000196812	6	28107689	28130082
ENSG00000265190	10	47460162	47484158
ENSG00000205413	7	93099513	93118023
ENSG00000228084	1	99968383	99969935
ENSG00000272843	7	72924418	72925125
ENSG00000186019	19	44103007	44113183
ENSG00000100612	14	60144119	60169856
ENSG00000136238	7	6374527	6403967
ENSG00000260260	16	2154792	2155405
ENSG00000130035	12	4720400	4851927
ENSG00000197106	1	110150494	110202202
ENSG00000179409	17	744421	753999
ENSG00000170160	17	16689537	16777881
ENSG00000186010	19	19515736	19529054
ENSG00000118596	12	59596029	59789855
ENSG00000184232	11	120211032	120230334
ENSG00000183580	5	15500180	15939795
ENSG00000197937	19	53124072	53159075
ENSG00000198746	1	26890488	26900467
ENSG00000250506	17	76000855	76005999
ENSG00000120784	19	37613749	37692337
ENSG00000178752	2	238158970	238168900
ENSG00000196696	16	69976297	70065948
ENSG00000170631	8	144930358	144950888
ENSG00000155975	8	17246931	17302427
ENSG00000099866	19	489176	505343
ENSG00000135778	1	232950605	232983882
ENSG00000124588	6	2987987	3019755
ENSG00000173456	11	119334527	119337309
ENSG00000018699	2	32628032	32821051
ENSG00000140450	15	97960703	97973833
ENSG00000196358	9	132162058	132244526
ENSG00000270012	X	49273054	49275768
ENSG00000176485	11	63573195	63616883
ENSG00000159202	17	48908407	48929056
ENSG00000214944	5	73626158	73941993
ENSG00000184730	16	28494643	28498964
ENSG00000156103	8	88032011	88328025
ENSG00000107554	10	99875577	100009947
ENSG00000049769	X	49269793	49301461
ENSG00000189079	12	45729706	45908040
ENSG00000100601	14	77672404	77708023
ENSG00000155367	1	112709994	112715332
ENSG00000160055	1	32214472	32222359
ENSG00000184486	6	98834574	98839458
ENSG00000115268	19	1438358	1440495
ENSG00000104808	19	48933699	48944969
ENSG00000260231	7	140177184	140179640
ENSG00000267680	19	44094361	44109886
ENSG00000167912	8	59119040	59123478
ENSG00000266208	17	40360655	40364693
ENSG00000188573	5	168529305	168530634
ENSG00000121775	1	32072031	32102866
ENSG00000183153	17	40360652	40364737
ENSG00000214851	12	9055589	9065070
ENSG00000007312	17	63928740	63932336
ENSG00000249348	4	39527720	39594707
ENSG00000189221	X	43654907	43746817
ENSG00000131791	1	147155106	147172550
ENSG00000115568	2	218633329	218659655
ENSG00000130520	19	18306236	18323112
ENSG00000161905	17	4630919	4642294
ENSG00000272068	1	156637783	156641004
ENSG00000111605	12	69239569	69274358
ENSG00000115760	2	32357023	32618878
ENSG00000277369	16	11797468	11798275
ENSG00000168286	16	67842320	67844195
ENSG00000261393	16	50368580	50371480
ENSG00000198846	8	58805412	59119147
ENSG00000232031	6	81724722	81736353
ENSG00000273343	22	20318119	20318749
ENSG00000261189	6	7540445	7543081
ENSG00000196839	20	44584896	44652252
ENSG00000196313	7	72879349	72951440
ENSG00000124942	11	62433542	62556235
ENSG00000268173	19	18153158	18178117
ENSG00000180447	9	86944362	86947506
ENSG00000123179	13	49660674	49691486
ENSG00000172086	2	88027205	88064252
ENSG00000163683	4	39546336	39638902
ENSG00000164266	5	147824572	147831671
ENSG00000100324	22	39399778	39437060
ENSG00000132475	17	75776434	75785893
ENSG00000267436	19	3544199	3557569
ENSG00000156983	3	9731729	9748019
ENSG00000266378	17	14327335	14329474
ENSG00000156466	8	96142333	96160806
ENSG00000182890	X	121047610	121050094
ENSG00000164961	8	125024260	125091819
ENSG00000197653	12	123762188	123935720
ENSG00000079387	12	48042897	48106079
ENSG00000125430	17	14301081	14349404
ENSG00000261879	17	5192007	5248182
ENSG00000183971	16	2009926	2020755
ENSG00000179295	12	112418351	112509918
ENSG00000171448	9	122915566	122931512
ENSG00000103196	16	84819985	84920768
ENSG00000146233	6	46549580	46652830
ENSG00000213463	14	70366499	70417090
ENSG00000134287	12	48935723	48957487
ENSG00000124215	20	59958423	60034011
ENSG00000224046	7	87151419	87152420
ENSG00000165891	12	77021248	77065569
ENSG00000111445	12	118013588	118033130
ENSG00000101166	20	59033145	59042809
ENSG00000234444	7	64307459	64356634
ENSG00000027075	14	61187559	61550976
ENSG00000253706	8	74798784	74866939
ENSG00000121440	3	73382431	73624941
ENSG00000106809	9	92383268	92404696
ENSG00000092208	14	39114285	39136973
ENSG00000198759	X	13569601	13633575
ENSG00000145012	3	188153284	188890671
ENSG00000172590	14	22829879	22835037
ENSG00000073060	12	124776856	124882668
ENSG00000170425	17	15945130	15975746
ENSG00000269292	19	46609277	46610779
ENSG00000239388	3	57268342	57292685
ENSG00000225062	2	218366665	218367835
ENSG00000145861	5	160347754	160370641
ENSG00000257621	14	58265365	58298134
ENSG00000089154	12	120127202	120194715
ENSG00000161381	17	39063313	39154394
ENSG00000184349	5	107376894	107670937
ENSG00000215910	1	11761787	11789585
ENSG00000167615	19	54448887	54462016
ENSG00000279232	5	98792861	98795766
ENSG00000141750	17	39210541	39225945
ENSG00000235194	14	23295652	23302859
ENSG00000278899	6	149717621	149718888
ENSG00000104140	15	40872214	40874234
ENSG00000143674	1	233327724	233385148
ENSG00000161677	19	50505998	50511220
ENSG00000261644	16	50727417	50742815
ENSG00000277651	14	65986967	65987447
ENSG00000110422	11	33256672	33357023
ENSG00000171611	6	42915989	42925838
ENSG00000280649	1	148458814	148459871
ENSG00000256525	17	64477785	64497054
ENSG00000120647	12	389273	442642
ENSG00000162878	2	42048021	42058517
ENSG00000175701	2	110211529	110245420
ENSG00000182858	22	49900229	49918438
ENSG00000163235	2	70447284	70554193
ENSG00000186479	5	64506015	64612319
ENSG00000126264	19	35902529	35904377
ENSG00000189409	1	1632163	1635263
ENSG00000099901	22	20115938	20127355
ENSG00000237489	10	130020025	130110830
ENSG00000145358	4	100185870	100190782
ENSG00000224093	1	93591972	93605573
ENSG00000145692	5	79111809	79132288
ENSG00000140057	14	96392128	96489427
ENSG00000155760	2	202033855	202038441
ENSG00000167196	15	75903876	75942511
ENSG00000173991	17	39665349	39666554
ENSG00000125846	20	18288283	18316996
ENSG00000267260	19	36773112	36777078
ENSG00000203710	1	207496147	207641765
ENSG00000102967	16	72008588	72027664
ENSG00000119280	1	230837119	230869589
ENSG00000164032	4	99948086	99950355
ENSG00000177302	17	18271428	18315007
ENSG00000138095	2	43886224	43996226
ENSG00000093000	22	45163925	45188017
ENSG00000115944	2	42333546	42425088
ENSG00000165650	10	117277274	117375440
ENSG00000038219	4	13568738	13627725
ENSG00000137692	11	103050686	103092194
ENSG00000280184	6	145789270	145791973
ENSG00000138356	2	200586014	200677064
ENSG00000242282	2	3531813	3536873
ENSG00000163624	4	84583127	84651334
ENSG00000239203	17	16427474	16428719
ENSG00000213920	14	24213943	24216070
ENSG00000172572	12	20368537	20688583
ENSG00000264577	17	28721487	28722877
ENSG00000013563	X	154401236	154412112
ENSG00000104866	19	45091396	45148077
ENSG00000168769	4	105145875	105279816
ENSG00000090273	1	26900238	26946871
ENSG00000173762	17	82314868	82317608
ENSG00000258938	14	35819224	35826765
ENSG00000116667	1	184387029	184629019
ENSG00000099204	10	114431112	114768061
ENSG00000139174	12	42456757	42590355
ENSG00000020577	14	54566117	54793315
ENSG00000146409	6	132769370	132813339
ENSG00000138604	15	69160584	69272217
ENSG00000196505	1	117863485	117929621
ENSG00000156384	10	104122058	104126385
ENSG00000270000	14	74471930	74472360
ENSG00000265888	18	31101540	31162789
ENSG00000108700	17	34319435	34321402
ENSG00000102743	13	40789412	40812460
ENSG00000169306	X	28587446	29956718
ENSG00000105186	19	32597006	32676597
ENSG00000150768	11	112025408	112064404
ENSG00000125551	2	87748087	87759476
ENSG00000117139	1	202724495	202808487
ENSG00000265933	18	6919496	6929966
ENSG00000162542	1	19682240	19799945
ENSG00000279152	17	8188933	8189688
ENSG00000168675	18	13217498	13652755
ENSG00000121281	16	50246137	50318135
ENSG00000108055	10	110567684	110606048
ENSG00000234171	2	3558439	3564842
ENSG00000174132	5	100535374	100586741
ENSG00000132716	1	160215715	160262549
ENSG00000166664	15	30360566	30393849
ENSG00000260698	1	246682108	246685075
ENSG00000266709	17	14303854	14305505
ENSG00000066294	1	160541095	160579516
ENSG00000110060	11	125893485	125903221
ENSG00000108298	17	39200283	39204840
ENSG00000186496	18	35366694	35377337
ENSG00000140350	15	68778535	68820897
ENSG00000170820	2	48962157	49154527
ENSG00000130429	7	99374249	99394816
ENSG00000163818	3	45823316	45916042
ENSG00000145390	4	119212587	119295518
ENSG00000257949	17	75979240	76000586
ENSG00000198242	17	28719985	28724359
ENSG00000258303	12	93836167	93838038
ENSG00000141837	19	13206442	13633025
ENSG00000267080	17	44175968	44186723
ENSG00000157578	21	39405728	39445805
ENSG00000249087	1	23368949	23371839
ENSG00000137103	9	35814451	35865518
ENSG00000130635	9	134641803	134844843
ENSG00000164855	7	1542235	1560821
ENSG00000070182	14	64746283	64879907
ENSG00000074964	1	17539698	17697874
ENSG00000162998	2	182833275	182866637
ENSG00000051128	19	18929201	18941261
ENSG00000100865	14	102341102	102362916
ENSG00000177483	2	237798389	237842808
ENSG00000280852	17	60101759	60102919
ENSG00000100916	14	35826338	35932325
ENSG00000164199	5	90529344	91164437
ENSG00000256973	12	22460519	22463914
ENSG00000102317	X	48574449	48581162
ENSG00000122223	1	160830160	160862887
ENSG00000251867	8	80484561	80486699
ENSG00000143653	1	246724409	246768137
ENSG00000204387	6	31834608	31839766
ENSG00000180098	1	28553085	28578545
ENSG00000221817	10	73495525	73520070
ENSG00000135750	1	233614106	233672514
ENSG00000139192	12	6451690	6466517
ENSG00000073605	17	39904595	39919854
ENSG00000145623	5	38845858	38945596
ENSG00000183246	22	21545666	21551461
ENSG00000029559	4	87799554	87812435
ENSG00000157500	3	57227726	57278105
ENSG00000110203	11	72114869	72139892
ENSG00000197182	22	46053869	46113928
ENSG00000164087	3	52075226	52154690
ENSG00000145020	3	49416778	49422685
ENSG00000185864	16	21834569	21880827
ENSG00000197362	7	149069641	149090782
ENSG00000223390	1	52033391	52044279
ENSG00000093009	22	19479457	19520612
ENSG00000274523	7	75027122	75074228
ENSG00000107130	9	130172404	130237303
ENSG00000157999	7	6031376	6036552
ENSG00000165966	12	41188320	41574745
ENSG00000169372	12	93677375	93894840
ENSG00000168101	16	4693694	4695859
ENSG00000267383	19	20122569	20321305
ENSG00000136866	9	113038377	113056759
ENSG00000272572	10	100911103	100912739
ENSG00000281357	5	91380349	91612566
ENSG00000257176	12	29277955	29317848
ENSG00000145736	5	71032670	71067689
ENSG00000272606	2	55617909	55618373
ENSG00000076555	12	109116587	109268226
ENSG00000274315	12	29331434	29331936
ENSG00000125945	1	23359448	23369836
ENSG00000112303	6	132743870	132763459
ENSG00000273820	X	49879484	49882558
ENSG00000205189	8	80485619	80526265
ENSG00000174606	1	212992182	213015867
ENSG00000279392	14	55229217	55229681
ENSG00000103657	15	63608618	63833948
ENSG00000170485	2	100820139	100996829
ENSG00000258653	14	73851971	73932278
ENSG00000216490	19	18173162	18178117
ENSG00000011260	17	51260546	51297936
ENSG00000154447	4	169094259	169270956
ENSG00000134755	18	31058840	31102522
ENSG00000182154	9	137551879	137552555
ENSG00000232119	X	120594010	120621159
ENSG00000221988	6	32153441	32163678
ENSG00000197299	15	90717346	90816166
ENSG00000108786	17	42552922	42555214
ENSG00000134909	11	128965060	129279324
ENSG00000109046	17	27294076	27315926
ENSG00000185304	2	87755960	87825796
ENSG00000254812	8	143620586	143633756
ENSG00000127989	7	91692008	91880702
ENSG00000160218	21	44012309	44106552
ENSG00000275993	21	6111131	6123778
ENSG00000003436	2	187464230	187565760
ENSG00000102934	16	57248547	57284672
ENSG00000156050	14	73931501	73950414
ENSG00000264235	18	3255436	3261850
ENSG00000140030	14	88005135	88014811
ENSG00000188786	1	37809574	37859592
ENSG00000167566	12	49791146	49828750
ENSG00000261794	15	30604028	30617752
ENSG00000134248	1	110401249	110407942
ENSG00000102699	13	24420931	24512778
ENSG00000005381	17	58269855	58280935
ENSG00000139915	14	46839629	47675605
ENSG00000170175	17	7445061	7457710
ENSG00000261188	22	26512529	26514568
ENSG00000185838	22	19783223	19854939
ENSG00000134871	13	110305812	110513209
ENSG00000103932	15	41517176	41544269
ENSG00000125900	20	1534251	1557705
ENSG00000280273	8	11283481	11285068
ENSG00000183309	8	143636019	143656418
ENSG00000279738	22	37876148	37895563
ENSG00000269559	4	74156511	74158373
ENSG00000228623	9	112957722	113012230
ENSG00000169083	X	67544021	67730619
ENSG00000177051	19	45710629	45730896
ENSG00000107816	10	100996618	101007836
ENSG00000047579	6	15522807	15663058
ENSG00000183308	2	200963263	201009102
ENSG00000115053	2	231453531	231483641
ENSG00000169193	7	23597382	23644708
ENSG00000170545	12	51244558	51270415
ENSG00000143363	1	151008420	151035713
ENSG00000178177	4	17841187	18021876
ENSG00000136802	9	128882133	128918039
ENSG00000260038	16	57247350	57248492
ENSG00000260861	20	1540144	1620009
ENSG00000137558	8	74824534	74855029
ENSG00000262874	19	51388289	51390591
ENSG00000100567	14	58244843	58272012
ENSG00000034152	17	21284672	21315232
ENSG00000111142	12	95473520	95515839
ENSG00000140153	14	102139503	102224847
ENSG00000187626	6	28241697	28252269
ENSG00000119013	2	201071433	201085750
ENSG00000198937	6	37482938	37499893
ENSG00000074071	16	1771890	1773150
ENSG00000118965	2	19910263	19990105
ENSG00000255621	12	13000451	13040679
ENSG00000233757	2	95207535	95259774
ENSG00000270959	3	188151206	188154057
ENSG00000131558	7	133253073	134066589
ENSG00000224563	3	188562238	188568666
ENSG00000147010	X	19533977	19887600
ENSG00000276980	19	6716386	6717742
ENSG00000261221	19	55605647	55617269
ENSG00000260966	11	103050687	103055799
ENSG00000227946	2	206084605	206086860
ENSG00000187605	2	73984910	74108176
ENSG00000205181	20	5482736	5526709
ENSG00000149100	11	32583798	32606264
ENSG00000133983	14	70325081	70416984
ENSG00000141232	17	50862223	50867978
ENSG00000117868	7	158730995	158830253
ENSG00000197124	19	19997058	20039505
ENSG00000229980	17	50866679	50910774
ENSG00000005448	2	74421678	74425755
ENSG00000136732	2	126656133	126696667
ENSG00000243155	1	180944042	180976482
ENSG00000179832	8	144148016	144261927
ENSG00000168936	4	1715952	1721358
ENSG00000232586	1	180949699	180954887
ENSG00000165572	13	41127569	41132802
ENSG00000226125	2	230690065	230700529
ENSG00000133687	12	29500840	29784759
ENSG00000095015	5	56815549	56896152
ENSG00000162757	1	209779208	209784559
ENSG00000115464	2	61187463	61471087
ENSG00000157184	1	53196792	53214197
ENSG00000130766	1	28259518	28282491
ENSG00000123136	19	14408798	14419383
ENSG00000213654	6	32190766	32195523
ENSG00000205707	12	25195216	25209645
ENSG00000132563	5	138439057	138446969
ENSG00000114933	2	205993721	206086303
ENSG00000067704	1	220094132	220148041
ENSG00000269556	X	149596556	149631912
ENSG00000048471	16	11976734	12574287
ENSG00000138741	4	121874481	121952060
ENSG00000165782	14	20457681	20461465
ENSG00000196357	19	36182276	36246257
ENSG00000243811	22	39021113	39033277
ENSG00000178605	X	304529	318819
ENSG00000179428	7	22725395	22727620
ENSG00000117595	1	209785617	209806175
ENSG00000198586	2	170990823	171231314
ENSG00000107959	10	3137728	3172841
ENSG00000075568	2	97756333	97995948
ENSG00000101546	18	80034389	80050651
ENSG00000175182	3	184335926	184348421
ENSG00000145592	5	40825262	40835222
ENSG00000108395	17	58982638	59106921
ENSG00000154930	20	25006230	25058980
ENSG00000273456	2	202374932	202375604
ENSG00000102383	X	75368427	75523502
ENSG00000124491	6	6144084	6321013
ENSG00000102931	16	57245259	57253635
ENSG00000169375	15	75369379	75455842
ENSG00000145555	5	16661907	16936288
ENSG00000013619	X	150361422	150514178
ENSG00000118707	20	36573488	36593950
ENSG00000163795	2	27377235	27380790
ENSG00000114391	3	101681091	101686718
ENSG00000188554	17	43170481	43211689
ENSG00000261408	17	75979231	76005999
ENSG00000272040	5	75608817	75609983
ENSG00000165997	10	18659431	18681639
ENSG00000136244	7	22725884	22732002
ENSG00000205592	12	40393395	40570832
ENSG00000125730	19	6677704	6730562
ENSG00000162384	1	53214099	53220634
ENSG00000261175	16	86710122	86742083
ENSG00000162999	2	183078559	183100008
ENSG00000105409	19	41966582	41997497
ENSG00000149922	16	30085793	30091924
ENSG00000247853	12	6578622	6584739
ENSG00000204351	6	31959117	31969751
ENSG00000031003	5	137937960	138051961
ENSG00000157429	16	71464555	71565089
ENSG00000148444	10	22316386	22320306
ENSG00000198331	11	125883614	125900646
ENSG00000153029	1	181033374	181061938
ENSG00000173530	8	23135588	23164027
ENSG00000143434	1	151131685	151146631
ENSG00000196465	12	56152256	56159647
ENSG00000137225	6	44158811	44184401
ENSG00000159714	16	67394152	67416833
ENSG00000273361	2	218398743	218399219
ENSG00000175344	15	31923438	32173018
ENSG00000250305	8	12945642	13031503
ENSG00000163472	1	156282935	156293185
ENSG00000184903	7	110662644	111562517
ENSG00000144559	3	11790442	11846919
ENSG00000096696	6	7541617	7586714
ENSG00000166669	16	10326434	10483638
ENSG00000066583	5	129094749	129114028
ENSG00000274943	12	42361267	42361703
ENSG00000100813	14	23058564	23095614
ENSG00000074047	2	120735623	120992653
ENSG00000187720	15	71096952	71783383
ENSG00000101452	20	38962299	39039723
ENSG00000279342	11	124789240	124792818
ENSG00000100129	22	37848868	37889407
ENSG00000115594	2	102064544	102179874
ENSG00000258539	10	124617080	124791727
ENSG00000161533	17	75941507	75979177
ENSG00000118946	13	57631744	57729311
ENSG00000133246	19	8490056	8502640
ENSG00000125818	20	1113240	1189415
ENSG00000109805	4	17810979	17844865
ENSG00000280560	10	89853595	90225443
ENSG00000198598	12	131828393	131851783
ENSG00000277595	12	110032245	110032803
ENSG00000139168	12	42312086	42326257
ENSG00000180389	13	27945260	27945415
ENSG00000163607	3	112990984	113015060
ENSG00000172901	5	115962454	116027619
ENSG00000276718	12	6466537	6467135
ENSG00000106804	9	120932642	121075195
ENSG00000144579	2	218398256	218405941
ENSG00000171791	18	63123346	63320128
ENSG00000160712	1	154405193	154469450
ENSG00000136938	9	97983341	98015943
ENSG00000169814	3	15601341	15722311
ENSG00000230310	19	12552597	12553644
ENSG00000062282	11	75759512	75801535
ENSG00000176928	5	75025346	75052558
ENSG00000233178	9	68393881	68406500
ENSG00000153898	1	84925583	84997113
ENSG00000260855	1	246772301	246775772
ENSG00000244509	22	39014257	39020352
ENSG00000249685	4	39133913	39135608
ENSG00000196466	19	12390016	12401271
ENSG00000148343	9	129036621	129072082
ENSG00000205784	19	4890437	4902896
ENSG00000225092	6	7183083	7185287
ENSG00000172322	12	9951316	9995694
ENSG00000166796	11	18412318	18452063
ENSG00000234936	2	43229573	43233394
ENSG00000279483	7	137513859	137513933
ENSG00000101082	20	36612318	36646196
ENSG00000256043	4	155921580	155953912
ENSG00000182197	8	117794490	118111826
ENSG00000185100	14	104724229	104747325
ENSG00000245322	4	99950006	100195099
ENSG00000235280	13	112967484	112968824
ENSG00000053372	1	19251805	19260128
ENSG00000154330	9	68328308	68531061
ENSG00000154727	21	25734570	25772460
ENSG00000124356	2	73828916	73873659
ENSG00000130558	9	135075422	135121180
ENSG00000137161	6	42929480	42939294
ENSG00000166886	12	57089043	57095476
ENSG00000134779	18	36777647	36829216
ENSG00000265451	2	121530422	121532705
ENSG00000198517	7	1530702	1543043
ENSG00000235027	11	1760348	1762486
ENSG00000048991	2	135531455	135725270
ENSG00000229512	11	1763009	1763749
ENSG00000116771	1	15571699	15585051
ENSG00000135622	2	74654228	74683853
ENSG00000101843	X	108084207	108091549
ENSG00000183597	22	20017014	20067164
ENSG00000198435	9	137299631	137302271
ENSG00000121957	1	108875350	108934545
ENSG00000186666	12	49836043	49843106
ENSG00000196597	9	96816269	96875623
ENSG00000129028	15	70881342	70892433
ENSG00000244242	11	1732406	1750595
ENSG00000175899	12	9067664	9116229
ENSG00000183780	1	233904676	234324511
ENSG00000104974	19	54593582	54602381
ENSG00000258057	12	49827913	49841143
ENSG00000148483	10	17752201	17800868
ENSG00000184867	X	101655281	101659850
ENSG00000038945	8	16107878	16567490
ENSG00000185158	17	32007872	32053504
ENSG00000119711	14	74056847	74084492
ENSG00000147231	X	106611930	106679439
ENSG00000176049	5	147585438	147782775
ENSG00000123575	X	104166453	104195902
ENSG00000023909	1	93885199	93909456
ENSG00000176236	10	15095385	15097319
ENSG00000146731	7	56051685	56063989
ENSG00000183018	17	4498881	4539035
ENSG00000229044	1	31333067	31346799
ENSG00000152464	10	15097180	15139818
ENSG00000149654	20	46173739	46308498
ENSG00000276791	16	2777319	2780568
ENSG00000115234	2	27370496	27377535
ENSG00000118997	2	195737703	196068837
ENSG00000271849	5	109687802	109688329
ENSG00000273284	18	9259388	9260390
ENSG00000112365	6	109462594	109483219
ENSG00000112640	6	42984553	43012342
ENSG00000110237	11	73308276	73369388
ENSG00000169330	15	79432336	79472304
ENSG00000196335	7	23710203	23832513
ENSG00000167635	19	36214602	36238771
ENSG00000185262	17	76265348	76271298
ENSG00000140848	16	57092583	57148369
ENSG00000163263	1	154199085	154206333
ENSG00000122696	9	37879400	37904353
ENSG00000166272	10	102743948	102834516
ENSG00000130226	7	153887097	154894285
ENSG00000116604	1	156463727	156500779
ENSG00000260751	16	23568673	23569696
ENSG00000075151	1	20806292	21177285
ENSG00000279119	17	38727833	38728198
ENSG00000106290	7	100106876	100119841
ENSG00000181634	9	114784652	114806039
ENSG00000148362	9	136992422	136993984
ENSG00000106565	7	150791285	150801360
ENSG00000111642	12	6570082	6614524
ENSG00000050748	5	180233143	180292099
ENSG00000127511	19	16829398	16880353
ENSG00000277089	17	36072866	36090134
ENSG00000228013	1	154402328	154406564
ENSG00000189410	1	20719731	20732837
ENSG00000174456	12	110027028	110073636
ENSG00000179922	19	55620741	55624566
ENSG00000140650	16	8788823	8862534
ENSG00000166173	15	70829130	70854157
ENSG00000147044	X	41514934	41923554
ENSG00000172840	16	66878589	66895754
ENSG00000148143	9	106863166	107013634
ENSG00000257557	12	79934901	79942712
ENSG00000048140	5	176647387	176659054
ENSG00000164418	6	100962701	102081622
ENSG00000253926	8	129415949	129445852
ENSG00000142920	1	33081104	33123492
ENSG00000276600	1	205976740	206003461
ENSG00000275302	17	36103827	36105621
ENSG00000106327	7	100620416	100642779
ENSG00000227953	1	246775880	246792385
ENSG00000246366	8	70608577	70663279
ENSG00000229140	8	128634199	129683770
